id,title,brand,reason
MPA5002L0070001,">B< Maxipro ACR Long Elbow 7/8""x 90D",Conex Bänninger,Brand: Conex Bänninger
EZPRO-18-HP-23016D-O,EasyPro 5th Generation 18k BTU 230V System,MRCOOL,Brand: MRCOOL
12SW90,"12"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,Brand: Gray Metal Products
SWP35,3” X 5' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
D SB SEAL TAPE,BLUE MONSTER THREAD SEAL TAPE,Blue Monster Products Mill-Rose,Brand: Blue Monster Products Mill-Rose
SLDRTB,15% Sil-Fos 1 Pound Tube,,Brand: BLANK
CONDP01,Sauermann Condensate Pump 23' Rise 120V,Sauerman,Brand: Sauerman
SB81410,8x14x10 Straight Boot,Gray Metal Products,Brand: Gray Metal Products
SWP185,18” X 3' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
AA6302K,Aprilaire Zone Board 2 Heat & 1 Cool 2 stage 2 Zone Heat Pump Syste...,Aprilaire,Brand: Aprilaire
5AFUSE,5 AMP Control Fuse (5 Per Pack),,Brand: BLANK
RSWG1420,14 x 20 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,Brand: Airscape
RB202NC,"Return Air Boot 20"" x 20"" flat with no collar",Gray Metal Products,Brand: Gray Metal Products
SWP165,16” X 3' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
GASNIP128,1/2” x 8” fitting,,Brand: BLANK
34PVCU,"3/4"" PVC Union",American Air Components,Brand: American Air Components
SB6128,"6"" x 12"" x 8"" Straight Boot",Gray Metal Products,Brand: Gray Metal Products
SPY600887,Spyder 13pc Bi-Metal (BIM) Hole Saw Set,Spyder,Brand: Spyder
PAN148,"14x8 Drain pan with no hole (Condensation Pump Application) 14"" x 8""",,Brand: BLANK
521KIT,Goodman Single-Stage Multi-Speed Gas Furnace 521KIT,UEI,Brand: UEI
34TRACRL,3/4” Trac Pipe 100' Roll,,Brand: BLANK
C165+KIT,UEi C165+KIT Combustion Analyzer Kit with Printer,UEI,Brand: UEI
1000002128,ROMAX Compact TT Basic Set 1 2x2Ah,Rothenberger,Brand: Rothenberger
CAP353MF,35/3 MF / 440 VA 440V 35+3 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
REME-BULB,Reme Halo Replacement Bulb Cell,,Brand: BLANK
GAS1TEE,1” Tee,,Brand: BLANK
05-30-300UB,"5” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
34HOLE,"3/4"" Hole Straps",,Brand: BLANK
13UNI1075,1/6-1/3 HP Uni. Multi HP CFM 1075 RPM,,Brand: BLANK
APR-4028-DTA,Aprilaire 4028 Drain Trap Assembly,Airscape,Brand: Airscape
H-BD01,HydroBalance Bluedaceous Condenser Coil Cleaner 1 Gallon Concentrate Non-Acid – Blue Coil Cleaner Bottle,HydroBalance,Brand: HydroBalance
06-30-300UB,"6” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
FLATB-PAINT,Flat Black Rust-oleum Spray Paint,,Brand: BLANK
906128,"6"" x 12"" x 8"" 90 Degree Boot",Gray Metal Products,Brand: Gray Metal Products
6SADDLE,"6"" Saddle Collar",Southwark,Brand: Southwark
NYLWB01,Nylon Webbing,American Air Components,Brand: American Air Components
RED108,10-8 Singlewall Reducer,Gray Metal Products,Brand: Gray Metal Products
CAP453MF,45/3 MF / 440 VA 440V 45+3 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
MPA52700030001,">B< Maxipro 3/8"" Straight Coupler",Conex Bänninger,Brand: Conex Bänninger
C165+NOIL,UEi C165+NOIL Combustion Analyzer with NOx Sensor for Oil-Fired Appliances,UEI,Brand: UEI
GAS1UN,1” Unions,,Brand: BLANK
STR9034,"3/4"" Copper Street 90",American Air Components,Brand: American Air Components
70025,CAPILLARY TUBE CUTTER,Mastercool,Brand: Mastercool
904106,4x10x6 90 Degree Boot,Gray Metal Products,Brand: Gray Metal Products
ROSSI6,"Rossi 6"" Complete Manual Damper",Rossi,Brand: Rossi
LS3450,3/4 X 3/8 50 Ft,Ptubes Linesets,Brand: Ptubes Linesets
PLENBSB,B Width Air Handler Return Support Plenum Box NO FILTER RACK (18 X ...,,Brand: BLANK
JN165,"3/8""-16 Hex nut 100 Count",,Brand: BLANK
PLENAHBFR,B Width Air Handler Return Support Plenum Box With 18x20x1 Filter R...,,Brand: BLANK
12WIRE1,12-2 High Voltage Wire by the foot,,Brand: BLANK
PF1414,14x14x1” Pleated Filter,GlassFloss,Brand: GlassFloss
ARMA78,"7/8""x 6' Amarflex 1/2"" wall",,Brand: BLANK
CSPLEN,C Width Gas Furnace Supply Plenum (19.75 X 19.63 X 36),,Brand: BLANK
C165+NKIT,UEi C165+NKIT Combustion Analyzer Kit with NOx Sensor and Printer,UEI,Brand: UEI
MSL5825,"5/8"" x 3/8"" 25ft Mini-split",Ptubes Linesets,Brand: Ptubes Linesets
MPA52700050001,">B< Maxipro 5/8"" Straight Coupler",Conex Bänninger,Brand: Conex Bänninger
CE6106,6x10x6 Center End Boot,Gray Metal Products,Brand: Gray Metal Products
3WAY148,14 x 8 3 Way Stamped Face Register White,Airscape,Brand: Airscape
FRG1420,14 x 20 Floor Return Grille Brown,Airscape,Brand: Airscape
